seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,train_nmse,validation_nmse,test_nmse,test_mse,test_target_variance,conductance_sum,min_conductance,max_conductance,min_total_conductance,max_voltage,bound_events,training_seconds
15303,0,01_23,True,development,0,sgd,0.003,0,01_23,calibrated_broadcast,1,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.003,0,01_23,subtree_projection,2,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.003,0,01_23,broadcast_projection,3,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,1,02_13,exact_path,0,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,1,02_13,calibrated_broadcast,1,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,1,02_13,subtree_projection,2,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,1,02_13,broadcast_projection,3,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,2,03_12,exact_path,0,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,2,03_12,calibrated_broadcast,1,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,2,03_12,subtree_projection,2,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.003,2,03_12,broadcast_projection,3,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.01,0,01_23,exact_path,0,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.01,0,01_23,calibrated_broadcast,1,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.01,0,01_23,subtree_projection,2,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,sgd,0.01,0,01_23,broadcast_projection,3,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,1,02_13,exact_path,0,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,1,02_13,calibrated_broadcast,1,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,1,02_13,subtree_projection,2,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,1,02_13,broadcast_projection,3,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,2,03_12,exact_path,0,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,2,03_12,calibrated_broadcast,1,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,2,03_12,subtree_projection,2,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,sgd,0.01,2,03_12,broadcast_projection,3,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.003,0,01_23,exact_path,0,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.003,0,01_23,calibrated_broadcast,1,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.003,0,01_23,subtree_projection,2,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.003,0,01_23,broadcast_projection,3,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,1,02_13,exact_path,0,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,1,02_13,calibrated_broadcast,1,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,1,02_13,subtree_projection,2,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,1,02_13,broadcast_projection,3,0.5768995521996079,0.5178864119202218,0.5660824600939857,0.0026948694163707394,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,2,03_12,exact_path,0,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,2,03_12,calibrated_broadcast,1,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,2,03_12,subtree_projection,2,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,False,development,0,adam,0.003,2,03_12,broadcast_projection,3,0.7441210184131017,0.6490660490704026,0.705032712034799,0.003356350403239927,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.01,0,01_23,exact_path,0,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.01,0,01_23,calibrated_broadcast,1,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.01,0,01_23,subtree_projection,2,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
15303,0,01_23,True,development,0,adam,0.01,0,01_23,broadcast_projection,3,0.8527237877537291,0.691167026377396,0.7772608734733012,0.0037001968867168946,0.004760559823604701,40.404397254331045,0.3787393967951622,8.123062693068736,1.2735454043623728,0.9569608292820627,0,0.0
